datetime	Shortwave_Radiation_calPerCentimerSquared	Air_Temperature_celsius	Dewpoint_Air_Temperature_Celsius	Ten_Meter_Elevation_Wind_Speed_meterPerSecond
1	56.938906494140554	-1.644049072266	-4.86810455322304	1.91426515579224
2	48.146138305664145	-0.232672119141	-3.9670394897464605	2.65946578979492
3	43.354162353515676	0.180139160156045	-2.6939544677736342	5.48101997375488
4	58.81512963867189	-1.33087768554697	-5.1659820556641485	2.65858674049377
5	58.4148164062501	1.0284057617190001	-1.7727020263669404	4.7974910736084
6	59.775350097656215	-0.236791992187989	-5.887847900391108	5.08443307876587
7	48.48679248046883	-0.165197753906	-4.49308624267554	2.27635169029236
8	50.9167858886719	-3.37583007812498	-5.400704956054659	2.55033612251282
9	51.41896215820307	-4.705969238281	-7.126954650878659	2.74676942825317
10	26.812733642578195	-1.692388916016	-4.847662353516	4.53760814666748
11	40.997786132812436	1.242181396484	-1.1041305541995994	4.96193027496338
12	6.497459609985359	2.99221191406201	0.21806945800733102	9.67174530029297
13	47.41669335937496	3.607751464844	1.3336990356447815	3.10080552101135
14	48.65369018554686	2.86318359375002	0.6949722290039206	3.36691975593567
15	21.933085144042888	8.04918823242201	6.561547851562629	7.54219722747803
16	55.43438159179695	6.347894287109	3.6732131958004004	6.07224321365356
17	50.557457153320364	6.22203979492201	2.6176010131837284	5.30873870849609
18	53.435745483398385	6.89019165039105	4.958726501465269	3.93823289871216
19	26.045113952636754	5.69494018554701	3.80459289550795	7.15457153320312
20	73.47570117187496	5.82439575195303	3.5757263183592682	3.00840258598328
21	7.973065063476559	7.69854125976605	6.05567626953167	7.1050271987915
22	73.42992773437496	5.55553588867201	2.8350601196290492	2.86341094970703
23	63.2078569335937	0.414239501953034	-0.41206817626962505	1.08063888549805
24	47.60002441406253	1.72100219726605	0.5981140136722887	1.9725147485733
25	50.92337768554686	0.936181640625023	-0.18569946289059636	2.62999796867371
26	64.48725219726559	2.77755126953105	0.15583648681620899	2.53155612945557
27	32.764193481445226	6.37700805664105	4.803753662109811	4.51034164428711
28	48.32696447753909	6.10332641601605	3.447773742676209	5.33969974517822
29	59.9022883300782	4.94225463867201	2.1781448364259104	7.11094856262207
30	78.5917858886719	1.64251098632803	-1.6407989501954101	3.41996073722839
31	80.97945996093748	1.77382812500002	-1.4095947265624797	3.92208695411682
32	46.080592163085946	3.747064208984	0.04756011962853979	3.57333540916443
33	43.38032849121099	6.493981933594	4.6923797607424405	4.98337268829346
34	45.03500134277351	5.60320434570303	3.626452636718649	3.75044345855713
35	16.170327026367193	5.93694458007803	4.292173767089748	5.89271354675293
36	87.46316455078127	5.19399414062502	1.7789916992187815	4.37353801727295
37	85.88182543945317	3.76702270507803	1.4880493164061495	2.26132678985596
38	58.69796704101567	3.64092407226605	1.4613723754887094	5.5945029258728
