datetime	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Air_Temperature_celsius	Dewpoint_Air_Temperature_Celsius	Ten_Meter_Elevation_Wind_Speed_meterPerSecond
1	59.94345657096	-7.569577280708334	-12.459762072124999	5.644221344041666
2	157.95323987472003	-10.092497252791667	-13.494174046541666	4.302235820208334
3	146.11817037528002	-12.156244659625	-17.015831029875	5.364614829375
4	148.26326248224	-18.302498881666665	-23.67497781725	5.174597713458334
5	164.88151199568003	-15.293747329583333	-18.58959421325	6.474447737708333
6	74.34914447016001	-7.529161835208333	-9.385277549875	4.273947115916666
7	166.1332324212	-10.551663462583333	-13.318869314666667	3.6258772273333335
8	174.05719327440002	-14.753326161666667	-17.823434827916667	3.6846139554583335
9	159.18753543696002	-14.588333510833333	-17.788515578000002	2.27285072725
10	113.99580066744001	-7.0829032898749995	-8.682657239041667	3.89707511975
11	153.19058532552	-5.4304082234583335	-5.984402495708333	3.0690590830833333
12	146.25460629	-2.300408427	-2.7806760628333334	2.576784918
13	145.31371380864002	-1.6116622925833333	-2.400493646916667	2.14645969425
14	113.7639591864	-2.097493235125	-3.138327749041667	4.940893293458333
15	180.859030326	-6.899991098958333	-7.863359976625	2.832860692916667
16	170.15954425200002	-6.248747253291667	-7.178488750375	3.9083683520416668
17	174.52627211592002	-1.6083244324166666	-2.8360490919166668	6.253747941541667
18	186.71896802232	-4.559576416041667	-8.111686193708334	2.8976833828333333
19	104.84431347888001	-3.663745625791667	-5.736830038625	6.305187815916667
20	128.42345049912	-4.682079060916666	-7.2342010305	7.116422402916667
21	83.1179525796	-6.709165954541667	-9.262190022041667	6.560800522416667
22	67.97138406192	-7.406247202541667	-9.958435428541668	5.026499799458334
23	114.38351778888001	-7.746660613916666	-10.319030198166667	3.4589418045
24	205.93144776096003	-13.410406493791667	-16.761493859791667	2.835351878375
25	192.18427129368	-10.748740895291666	-14.690010864875	2.632436187125
26	210.70850371848002	-12.389578247	-16.075924931583334	2.7051365754166667
27	196.7211370224	-8.392075601875	-11.039711776875	3.524665199958333
28	210.25778301216002	-6.677495066166666	-8.289753469	5.0623745075
29	178.573678524	-10.416242981541666	-12.585897375375	2.8186109685
30	213.335925915528	-9.135411327125	-10.872227765458334	3.3890251806666667
31	212.37321728556003	-5.454574330791666	-6.4545633010416665	4.7283787625
32	208.62467893958402	-3.8191627502916665	-5.566371875041667	3.0095830534583334
33	186.86462751288002	-6.0879145305	-8.328127707	1.9754228862916667
34	145.66291159752	-5.419578297875	-7.449669768375	3.8521048927083332
35	175.61102178744002	-9.088327789833333	-14.4458161725	7.358101043833333
36	231.76289273976002	-16.584581757083335	-20.933202079416667	5.3085390655
37	233.23528798056003	-16.883746210833333	-20.980261241666668	3.22648319975
38	133.06471187760002	-13.532495879166667	-17.791689019333333	5.542236769333333
39	236.23473640968	-15.456666055416667	-19.35494391683333	5.0227765304166665
40	151.99315273584	-6.922914885875	-8.542383631208333	4.27050185075
41	220.85481445920001	-5.593332672	-9.761736471999999	7.707389350125
42	209.61403225776002	-17.54333279875	-24.855772787833335	7.445936162875
43	204.78016571256003	-16.289581044583333	-20.442354242583335	4.146601129
44	220.28795864424	-14.459579850416667	-19.1716277335	4.862526817958333
45	191.97892530144	-11.649162037375	-15.318627456708333	3.4521865389166666
46	151.06478357376002	-5.384157562375	-7.265569250125	5.1331360142083335
47	233.99762502456002	-10.601661427458334	-13.646659313958333	2.4087564530833334
48	248.73653153282402	-6.811659240916667	-8.913598850083334	4.348317293666667
49	252.17675869572003	-2.23249028525	-5.153261923166666	5.2011517610833335
50	257.80867800984	-1.19832967125	-3.4702393735	3.143951936833333
51	249.01379687952002	0.22417602533333333	-2.5907118020833333	6.471639768208333
52	181.73166895872	-4.967499796666667	-9.501648041916667	4.815024444541667
53	235.75183030224002	-1.4116678872916666	-4.682689384291667	2.534367641125
54	257.74048910592	0.03542989095833333	-4.537249259708333	5.722482178958333
55	240.92604053208	-2.344577535	-11.015774174166667	5.066262708583333
56	135.97754239152002	-1.0637420654583334	-4.412335456041667	5.1379340200416665
57	222.32109580704002	-2.982082112666667	-6.926856973083333	6.374766412833333
58	199.16416612368002	-1.28291295375	-5.022998512833333	4.47472503325
59	140.85705582648	-4.148750050875	-10.810644526791666	5.894906127833333
60	287.93908823040005	-11.480410004083334	-22.836523233416667	6.8309965745
61	334.2833984124	-11.289574686666667	-21.304169534916667	3.3006441318333333
62	334.06027406064004	-7.325406137958334	-13.870136273458334	3.5951863296666664
63	287.62624457064	-3.459164683	-10.65748823425	3.3413059682916666
64	147.24151200288	-1.28666661575	-2.979456115666667	3.2903163675416667
65	255.08894292576002	-1.8237403867916666	-3.8539880995416667	3.5349810579583334
66	251.91223132968003	-3.2441594442083335	-5.723776620125	5.60935701
67	267.4055536128	-7.41291402175	-10.91467735925	4.673235950041667
68	315.67586077872005	-7.571660105208333	-11.473053232541666	3.169809432375
69	351.20678851296003	-0.814574940875	-3.943921001541667	6.063496566375
70	348.17997490776	4.355840301333333	-0.01737475391666643	5.882231519791667
71	263.78042212512	7.641675568	3.0027968730000003	5.560085431291666
72	218.53605871296003	9.8483393345	4.568506785583333	4.6804652840416665
73	348.243046884	11.742923990708334	5.139506334041667	2.8908517057916665
74	275.39834655672	12.282093302625	6.602970775708334	1.9051671888333332
75	327.74709814560003	10.557920075083333	4.242053033333334	2.0978949700416667
76	185.438882004696	6.099172210916667	1.6994643908333336	2.9608529631666665
77	207.165961698696	7.382085419166667	2.508857794416667	3.2565252115
78	352.350434888136	8.269581095666666	4.283005208	2.4268127422083334
79	138.00218186224802	7.434170023333333	5.250888693166667	5.736385933708333
80	308.05862047272	4.447501119083333	-0.7678772309999999	6.47625633275
81	385.913666661408	3.767505900041667	-1.5224767654583335	3.692944623708333
82	356.5816553682	3.205013529375	-1.606179948875	4.010518211791666
83	410.97564226656004	2.6720914205	-4.283124701833334	2.7270902936666666
84	281.66097599028	4.10792694125	-3.3097203706666662	4.032842925
85	128.95862595228002	4.228751119	-1.06154525925	6.010981170458333
86	94.89542433703201	1.9266703288333333	-0.7732524968333334	6.471104721916666
87	101.01146374252801	1.4195902507083333	-0.7056858017916667	2.9474811241666665
88	148.404096226872	1.8929280599583334	-1.1502026897916666	2.685546989166667
89	241.88515067376002	2.1912526449583334	-2.8820040410416667	3.870311386125
90	230.38185348072003	1.503345744	-4.1399702241666665	3.5282641305
91	182.64967259616003	2.42042439775	-3.6257050320833333	2.5490264082916667
92	278.56662999624	5.856669362416667	-0.5931466385	4.026218180125
93	409.51995103008005	9.675836182291667	1.4580926955416669	6.3648031715
94	429.74020994328004	-7.2608309425833335	-18.664683737166666	7.503226076791667
95	222.37732809432	-2.8287439982500002	-12.457295779999999	4.441853489625
96	411.72113163600005	4.781250254291667	-1.8539685777083337	3.91817254075
97	169.22743244424	3.222915903666667	-1.1899591561666665	4.017298143041667
98	209.06906341752003	4.731254831958333	1.696346930875	3.729400574
99	332.49909594528003	0.7674995422083333	-4.142933307541667	8.074188353083333
100	159.042454776	-0.7895785012916666	-3.3245936576250004	8.5698154505
101	209.25201420792	4.572512563083333	2.2131468107499996	5.433354287875
102	159.27854316768003	3.9937594095	0.6559430029999999	6.301226550958333
103	447.98737939200004	5.9112589516666665	-0.08951008175000019	6.544573168166667
104	452.87222195088003	5.302929179291667	-1.5290245095416668	3.659952240625
105	313.99430533992006	6.274592335541667	-0.7658606384583335	6.904576304708333
106	376.31512985616	10.780840810583333	5.29138565925	2.00585359825
107	351.7473622824	10.503340658041667	6.786872070291667	2.235406638625
108	268.04627818272	11.149166361583333	7.420158278	7.531713268458334
109	382.79382960384004	7.5979298912083335	2.6049497739583334	5.297228759166667
110	231.31418526288002	5.700003560458334	2.366557959541667	5.75853314825
111	250.64474579352003	5.7325124105	3.5474533715	3.8247963645416667
112	428.01400908000005	8.135424550666666	1.7766831540833332	3.999240906875
113	462.43678051296007	7.511258696833333	0.0843134032500002	2.3465515445
114	281.85364352232	7.527501678708333	0.7930109645416669	3.6065145655416666
115	365.66049601080005	7.0137573243333335	0.8168071489166666	3.7378058706666666
116	152.64619327224	7.421254729958333	5.974552698458334	3.180414234916667
117	174.68388061128002	6.292924499625	2.790919462291667	5.9274644226249995
118	352.17748937304003	9.092089589916666	2.6474884200000006	2.813376088791667
119	149.47776068976003	9.224169667	4.011463108916667	2.681488997583333
120	386.55266213628005	7.990422820916667	3.3604439115833338	3.9399093572083332
121	272.22235359933603	6.465420023625	2.8456530107083333	3.713934371708333
122	260.94002432738404	8.230429585291667	2.098655347375	2.142151690625
123	283.272548577984	10.273346200875	2.6034726915416666	1.6816139864166666
124	206.293106314224	10.67250467925	5.020417160583333	1.7532661747916667
125	410.41915266816	11.273342386374999	5.198491171791667	4.3115597071666665
126	449.36819493336003	12.465417479583333	5.016831252333333	1.8413811425833333
127	219.63225462480003	14.316252645416666	8.985404430833333	3.8581377381666666
128	113.845968632592	9.476258850041667	7.790237135791667	8.353419461375
129	376.87305541096805	11.071254984625	9.011335571125	5.97647212775
130	111.78417558780001	9.199587758416667	7.674537971083334	4.803198256125
131	406.566215407368	12.114589945583333	7.142108064333334	3.324721901166667
132	498.95056566561607	14.557917530875	8.596331115625	3.7360748110833333
133	256.04690117472	13.699173227625	11.908423730625	7.229939674666666
134	399.19759250112	15.59959309875	11.068728322916666	6.952882103291667
135	518.61823104816	13.678755697208333	7.0434051117916665	3.455647555791667
136	458.94686326322403	17.574587758541668	13.049046770875	4.678953241625
